시도,행정구역,산업대,2019 년,2020 년
서울특별시,강남구,전체,53831,51060
서울특별시,강남구,A.농림어업,5,7
서울특별시,강남구,B.광업,3,2
서울특별시,강남구,C.제조업,1204,1175
서울특별시,강남구,D.전기가스,35,32
서울특별시,강남구,E.수도하수,20,23
서울특별시,강남구,F.건설업,1622,1486
서울특별시,강남구,G.도소매업,12424,12078
서울특별시,강남구,H.운수창고,680,637
서울특별시,강남구,I.숙박음식,9122,7460
서울특별시,강남구,J.정보통신,3737,3866
서울특별시,강남구,K.금융보험,1820,1873
서울특별시,강남구,L.부동산업,4227,4190
서울특별시,강남구,M.전문기술,7626,8063
서울특별시,강남구,N.사업시설,1716,1617
서울특별시,강남구,P.교육,2682,2455
서울특별시,강남구,Q.보건복지,2866,2901
서울특별시,강남구,R.예술스포츠,1201,897
서울특별시,강남구,S.협회단체,2841,2298
서울특별시,송파구,전체,29135,26152
서울특별시,송파구,A.농림어업,6,7
서울특별시,송파구,B.광업,1,0
서울특별시,송파구,C.제조업,988,899
서울특별시,송파구,D.전기가스,10,12
서울특별시,송파구,E.수도하수,20,21
서울특별시,송파구,F.건설업,1620,1430
서울특별시,송파구,G.도소매업,9294,8648
서울특별시,송파구,H.운수창고,315,287
서울특별시,송파구,I.숙박음식,5007,3833
서울특별시,송파구,J.정보통신,803,870
서울특별시,송파구,K.금융보험,506,478
서울특별시,송파구,L.부동산업,1561,1400
서울특별시,송파구,M.전문기술,2304,2423
서울특별시,송파구,N.사업시설,728,659
서울특별시,송파구,P.교육,1444,1279
서울특별시,송파구,Q.보건복지,1800,1811
서울특별시,송파구,R.예술스포츠,865,562
서울특별시,송파구,S.협회단체,1863,1533
서울특별시,강동구,전체,13568,11129
서울특별시,강동구,A.농림어업,0,2
서울특별시,강동구,B.광업,0,0
서울특별시,강동구,C.제조업,739,623
서울특별시,강동구,D.전기가스,1,3
서울특별시,강동구,E.수도하수,12,14
서울특별시,강동구,F.건설업,845,648
서울특별시,강동구,G.도소매업,3415,2761
서울특별시,강동구,H.운수창고,184,143
서울특별시,강동구,I.숙박음식,2888,1994
서울특별시,강동구,J.정보통신,151,163
서울특별시,강동구,K.금융보험,210,201
서울특별시,강동구,L.부동산업,821,686
서울특별시,강동구,M.전문기술,477,470
서울특별시,강동구,N.사업시설,331,271
서울특별시,강동구,P.교육,824,780
서울특별시,강동구,Q.보건복지,1241,1244
서울특별시,강동구,R.예술스포츠,403,275
서울특별시,강동구,S.협회단체,1026,851
부산광역시,전체,전체,147715,124498
부산광역시,전체,A.농림어업,83,84
부산광역시,전체,B.광업,16,13
부산광역시,전체,C.제조업,19293,17680
부산광역시,전체,D.전기가스,53,54
부산광역시,전체,E.수도하수,383,371
부산광역시,전체,F.건설업,7655,5815
부산광역시,전체,G.도소매업,36238,30479
부산광역시,전체,H.운수창고,5569,4919
부산광역시,전체,I.숙박음식,28364,19486
