기준년,시도,행정구역,직종_중분류,신규구인인원,신규구직건수,취업건수,구인배율
21년,서울특별시,용산구,금융·보험직,37,242,61,0.15289256198347106
21년,서울특별시,용산구,인문·사회과학 연구직,3,41,10,0.07317073170731707
21년,서울특별시,용산구,자연·생명과학 연구직,2,35,9,0.05714285714285714
21년,서울특별시,용산구,정보통신 연구개발직 및 공학기술직,248,558,206,0.4444444444444444
21년,서울특별시,용산구,건설·채굴 연구개발직 및 공학기술직,129,184,80,0.7010869565217391
21년,서울특별시,용산구,제조 연구개발직 및 공학기술직,107,287,104,0.37282229965156793
21년,서울특별시,용산구,교육직,85,474,109,0.17932489451476794
21년,서울특별시,용산구,법률직,6,84,28,0.07142857142857142
21년,서울특별시,용산구,사회복지·종교직,368,613,200,0.600326264274062
21년,서울특별시,용산구,경찰·소방·교도직,0,21,0,0.0
21년,서울특별시,용산구,군인,0,4,0,0.0
21년,서울특별시,용산구,보건·의료직,119,483,185,0.2463768115942029
21년,서울특별시,용산구,예술·디자인·방송직,371,1805,485,0.20554016620498616
21년,서울특별시,용산구,스포츠·레크리에이션직,12,91,20,0.13186813186813187
21년,서울특별시,용산구,미용·예식 서비스직,48,258,53,0.18604651162790697
21년,서울특별시,용산구,여행·숙박·오락 서비스직,7,173,48,0.04046242774566474
21년,서울특별시,용산구,음식 서비스직,1154,1405,366,0.8213523131672598
21년,서울특별시,용산구,경호·경비직,895,446,144,2.006726457399103
21년,서울특별시,용산구,돌봄 서비스직(간병·육아),1112,744,308,1.4946236559139785
21년,서울특별시,용산구,청소 및 기타 개인서비스직,1997,1008,429,1.9811507936507937
21년,서울특별시,용산구,영업·판매직,766,914,249,0.838074398249453
21년,서울특별시,용산구,운전·운송직,332,325,116,1.0215384615384615
21년,서울특별시,용산구,건설·채굴직,533,386,82,1.3808290155440415
21년,서울특별시,용산구,기계 설치·정비·생산직,116,203,53,0.5714285714285714
21년,서울특별시,용산구,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),5,55,10,0.09090909090909091
21년,서울특별시,용산구,전기·전자 설치·정비·생산직,240,252,68,0.9523809523809523
21년,서울특별시,용산구,정보통신 설치·정비직,191,47,18,4.0638297872340425
21년,서울특별시,용산구,화학·환경 설치·정비·생산직,8,22,7,0.36363636363636365
21년,서울특별시,용산구,섬유·의복 생산직,7,71,13,0.09859154929577464
21년,서울특별시,용산구,식품가공·생산직,52,122,29,0.4262295081967213
21년,서울특별시,용산구,인쇄·목재·공예 및 기타 설치·정비·생산직,35,76,22,0.4605263157894737
21년,서울특별시,용산구,제조 단순직,131,119,26,1.1008403361344539
21년,서울특별시,용산구,농림어업직,39,103,23,0.3786407766990291
21년,서울특별시,성동구,관리직(임원·부서장),104,727,197,0.14305364511691884
21년,서울특별시,성동구,경영·행정·사무직,4235,5098,1443,0.8307179285994508
21년,서울특별시,성동구,금융·보험직,183,277,63,0.6606498194945848
21년,서울특별시,성동구,인문·사회과학 연구직,11,15,7,0.7333333333333333
21년,서울특별시,성동구,자연·생명과학 연구직,30,41,10,0.7317073170731707
21년,서울특별시,성동구,정보통신 연구개발직 및 공학기술직,700,880,249,0.7954545454545454
21년,서울특별시,성동구,건설·채굴 연구개발직 및 공학기술직,262,275,94,0.9527272727272728
21년,서울특별시,성동구,제조 연구개발직 및 공학기술직,216,574,173,0.37630662020905925
21년,서울특별시,성동구,교육직,77,572,111,0.1346153846153846
21년,서울특별시,성동구,법률직,15,121,27,0.12396694214876033
21년,서울특별시,성동구,사회복지·종교직,342,758,231,0.45118733509234826
21년,서울특별시,성동구,경찰·소방·교도직,0,30,3,0.0
21년,서울특별시,성동구,군인,0,5,1,0.0
21년,서울특별시,성동구,보건·의료직,137,887,300,0.1544532130777903
21년,서울특별시,성동구,예술·디자인·방송직,569,1938,481,0.2936016511867905
21년,서울특별시,성동구,스포츠·레크리에이션직,6,119,30,0.05042016806722689
21년,서울특별시,성동구,미용·예식 서비스직,3,359,61,0.008356545961002786
21년,서울특별시,성동구,여행·숙박·오락 서비스직,12,190,42,0.06315789473684211
21년,서울특별시,성동구,음식 서비스직,632,1500,358,0.42133333333333334
21년,서울특별시,성동구,경호·경비직,243,792,282,0.3068181818181818
21년,서울특별시,성동구,돌봄 서비스직(간병·육아),591,1241,480,0.47622884770346496
21년,서울특별시,성동구,청소 및 기타 개인서비스직,776,1662,763,0.46690734055354993
21년,서울특별시,성동구,영업·판매직,1072,1192,274,0.8993288590604027
21년,서울특별시,성동구,운전·운송직,551,615,178,0.8959349593495934
21년,서울특별시,성동구,건설·채굴직,280,524,133,0.5343511450381679
21년,서울특별시,성동구,기계 설치·정비·생산직,228,377,114,0.6047745358090185
21년,서울특별시,성동구,금속·재료 설치·정비·생산직(판금·단조·주조·용접·도장 등),56,95,22,0.5894736842105263
21년,서울특별시,성동구,전기·전자 설치·정비·생산직,420,430,148,0.9767441860465116
