행정코드,시도,행정구역,연월,value
41,경기도,전체,'18.12월,13077153
41110,경기도,수원시,'18.12월,1201166
41111,경기도,장안구,'18.12월,286433
41113,경기도,권선구,'18.12월,377647
41115,경기도,팔달구,'18.12월,180974
41117,경기도,영통구,'18.12월,356112
41130,경기도,성남시,'18.12월,954347
41131,경기도,수정구,'18.12월,234133
41133,경기도,중원구,'18.12월,224885
41135,경기도,분당구,'18.12월,495329
41150,경기도,의정부시,'18.12월,447026
41170,경기도,안양시,'18.12월,576831
41171,경기도,만안구,'18.12월,251512
41173,경기도,동안구,'18.12월,325319
41190,경기도,부천시,'18.12월,843768
41210,경기도,광명시,'18.12월,326841
41220,경기도,평택시,'18.12월,495642
41250,경기도,동두천시,'18.12월,96226
